word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
B W EH L,4,-14.84334543050545,-15.673168366853579,1.1355012490936662,1.0035343248198048
G IY TH,3,-13.178965656980555,-15.559229421395417,1.0766562008835812,1.0003519112244676
S EH V,3,-10.538884285481668,-10.668174890921396,1.2029922753187756,1.0115180059280897
S ER S,3,-9.111079865964106,-10.449478562788503,1.220363886259629,1.0082645874564924
L AE L,3,-9.331995515859653,-10.681228479409903,1.1628799039014164,1.0103461291532128
S AY L,3,-9.914707688901892,-10.45879751927597,1.2052082109150042,1.0060024498692082
B AH L,3,-8.915185409612485,-7.581447598809241,1.2008031734371807,1.0144543704045035
M AH B,3,-9.529207919755073,-10.873385855822086,1.1603250516178802,1.0139557302479176
HH L AH P,4,-13.437286184193136,-18.8469236072853,1.1672253590647972,1.0076481247867697
D IH T,3,-8.777098067638594,-8.406921109767747,1.2288050023862975,1.0341027448222142
TH AO B,3,-13.845870601480208,-16.960412531943238,1.0659219122066328,1.0007013307997288
D IY K,3,-9.574913382617858,-11.272723006826732,1.1599223865344324,1.0066318270726209
P AY T,3,-10.455027256123614,-10.037786113389723,1.174794163477048,1.0048077923015861
M IH P,3,-9.660811730779594,-11.312857591257105,1.1918368585113672,1.0143785272190413
S AY S,3,-9.905440318781976,-10.815528069332942,1.2195873983146046,1.0046311377193826
K AE K,3,-9.782846059553307,-9.750712160289698,1.2104608127589895,1.0154339049425576
G AO B,3,-12.710401551487916,-16.279782342816013,1.0857922890452247,1.0010119259777386
T IH L R,4,-11.15442243644907,-18.00329299066735,1.2566952543683578,1.0129619352949581
JH AW R,3,-13.228960185185672,-17.323522430299896,1.099958791508259,1.000351555274581
N IH N,3,-7.970514509835217,-10.250895757729438,1.2150922427820379,1.0106389009772834
M AE V,3,-11.383549534568015,-11.274757256608062,1.1413598804152867,1.009992464038919
TH IH S,3,-11.119623473567888,-11.421075573365146,1.1900417502443843,1.022481332409748
